naics3d,naics3d_label,tech40_id,tech40_label,tech40_labelshort,cosine3d,n_patent,xposure3d
111,Crop Production,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
111,Crop Production,2,3D Printing,3D Printing,0,0,-0
111,Crop Production,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
111,Crop Production,4,Smart Agriculture & Water Management,Smart Agriculture,139.02629806562894,1915,5.627823224655543
111,Crop Production,5,Internet of Things (IoT),IoT,50.59237530740593,734,4.617045717520468
111,Crop Production,6,Predictive Energy Management and Distribution,Energy Management,0.7903237603139915,27,0.725094537972259
111,Crop Production,7,Industrial Automation & Robot Control,Industrial Automation,1.4788090182812712,31,1.1829508002823124
111,Crop Production,8,Remote Monitoring & Control Systems,Remote Monitoring,0.2869327432645083,7,0.2831346265567249
111,Crop Production,9,Smart Home & Intelligent Household Control,Smart Home,0.21465595409709867,5,0.21304076858834925
111,Crop Production,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
111,Crop Production,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.1612405896055529,7,0.16054996962214993
111,Crop Production,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
111,Crop Production,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.253373687965911,3,0.25073811577070754
111,Crop Production,14,Passenger Transportation,Passenger Transportation,0,0,-0
111,Crop Production,15,Food Ordering & Vending Systems,Food Ordering,0.07905318674813672,2,0.07897107819987666
111,Crop Production,16,Digital Advertising,Digital Advertising,0,0,-0
111,Crop Production,17,Electronic Trading and Auctions,E-Trading,0,0,-0
111,Crop Production,18,Online Shopping Platforms,Online Shopping,0,0,-0
111,Crop Production,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
111,Crop Production,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
111,Crop Production,21,Mobile Payments,Mobile Payment,0,0,-0
111,Crop Production,22,Gaming & Wagering Systems,Gaming,0,1,-0
111,Crop Production,23,Digital Authentication,Digital Authentification,0,0,-0
111,Crop Production,24,E-Learning,E-Learning,0,0,-0
111,Crop Production,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
111,Crop Production,26,Voice Communication,Voice Communication,0,0,-0
111,Crop Production,27,Electronic Messaging,Electronic Messaging,0.07507615327062234,1,0.0750058046580634
111,Crop Production,28,Workflow Management,Workflow Management,2.4019953057603334,52,1.610205066024522
111,Crop Production,29,Cloud Storage & Data Security,Cloud Storage,0,2,-0
111,Crop Production,30,Information Processing,Information Processing,0,0,-0
111,Crop Production,31,Cloud Computing,Cloud Computing,1.055589357552868,15,0.9201400867392049
