isco1d,isco1d_label,tech40_id,tech40_label,tech40_labelshort,cosine1d,n_patent,xposure1d
1,Managers,1,3D Printer Hardware,3D Printer Hardware,0.1076591889422463,9,0.10745229557949856
1,Managers,2,3D Printing,3D Printing,0.32415021759610796,28,0.3187263591077164
1,Managers,3,Additive Manufacturing,Additive Manufacturing,0.359692460150849,31,0.3523559557022414
1,Managers,4,Smart Agriculture & Water Management,Smart Agriculture,19.242032653959235,1533,3.6509187935076883
1,Managers,5,Internet of Things (IoT),IoT,8.736050994916104,841,2.863865199306713
1,Managers,6,Predictive Energy Management and Distribution,Energy Management,7.8827642986513435,735,2.76182506130118
1,Managers,7,Industrial Automation & Robot Control,Industrial Automation,4.016770641875129,298,2.098772020563948
1,Managers,8,Remote Monitoring & Control Systems,Remote Monitoring,6.293639552990889,509,2.538939333705267
1,Managers,9,Smart Home & Intelligent Household Control,Smart Home,3.0726135026704413,305,1.8411621395303448
1,Managers,10,Intelligent Logistics,Intelligent Logistics,21.199441609023623,1510,3.7476778361791068
1,Managers,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.34125322342812353,39,0.3349546426478708
1,Managers,12,Parking & Vehicle Space Management,Parking Management,0.2332481033887508,28,0.23118330043245996
1,Managers,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,2.560994243397799,229,1.6696486517802884
1,Managers,14,Passenger Transportation,Passenger Transportation,5.2391401922669845,427,2.3582905440207647
1,Managers,15,Food Ordering & Vending Systems,Food Ordering,18.563435844214556,1352,3.615065699892556
1,Managers,16,Digital Advertising,Digital Advertising,55.154857323116566,4759,4.703374168214043
1,Managers,17,Electronic Trading and Auctions,E-Trading,2.6436697383355914,250,1.6993060065338799
1,Managers,18,Online Shopping Platforms,Online Shopping,40.686581474083646,3019,4.399196512028379
1,Managers,19,E-Coupons & Promotion Management,E-Coupons,8.71359402627711,764,2.861308022618992
1,Managers,20,Electronic Payments & Financial Transactions,E-Payment,8.661859752669427,719,2.8553921976554384
1,Managers,21,Mobile Payments,Mobile Payment,2.333784474131847,230,1.5836667051592612
1,Managers,22,Gaming & Wagering Systems,Gaming,3.19200946552333,333,1.8774774929099112
1,Managers,23,Digital Authentication,Digital Authentification,10.35404668678146,1021,3.032848445975009
1,Managers,24,E-Learning,E-Learning,33.786729654448436,2760,4.213434222079939
1,Managers,25,Location-Based Services & Tracking,Location-Based Services,5.758476282572065,508,2.451275420296874
1,Managers,26,Voice Communication,Voice Communication,13.653138433383674,1121,3.308455050435756
1,Managers,27,Electronic Messaging,Electronic Messaging,4.410659224719492,370,2.1897813530299657
1,Managers,28,Workflow Management,Workflow Management,27.45473069782611,2036,4.006017177073585
1,Managers,29,Cloud Storage & Data Security,Cloud Storage,6.338996912076151,640,2.5460320037405926
1,Managers,30,Information Processing,Information Processing,14.019515313212489,1088,3.3348670321068004
1,Managers,31,Cloud Computing,Cloud Computing,47.242415452008345,4340,4.54855129817075
1,Managers,32,Recommender Systems,Recommender Systems,11.686844727942134,1075,3.1534364000516697
1,Managers,33,Social Networking & Media Platforms,Social Networking,8.350862779850509,825,2.8190778180813023
1,Managers,34,Digital Media Content,Digital Media Content,13.800044126285577,1181,3.3191291338835462
1,Managers,35,Augmented and Virtual Reality (AR/VR),AR/VR,1.7810996909489218,168,1.3412249475217195
1,Managers,36,Machine Learning & Neural Networks,Machine Learning,0.14776450052491374,19,0.14723199266427606
1,Managers,37,Medical Imaging & Image Processing,Medical Imaging,0.31719999120366377,38,0.3121081025616424
1,Managers,38,Health Monitoring,Health Monitoring,1.4006912690558941,128,1.138383772598192
1,Managers,39,Medical Information,Medical Information,1.8349440479243186,137,1.3672862402956765
1,Managers,40,E-Healthcare,E-Healthcare,6.648155794239044,504,2.59309564295865
2,Professionals,1,3D Printer Hardware,3D Printer Hardware,0.028908656295445076,22,0.028904631264791637
2,Professionals,2,3D Printing,3D Printing,0.6492976703410034,186,0.610635355457117
2,Professionals,3,Additive Manufacturing,Additive Manufacturing,0.7150198264834817,183,0.664927872549052
2,Professionals,4,Smart Agriculture & Water Management,Smart Agriculture,2.5430024327631977,717,1.663084505876996
2,Professionals,5,Internet of Things (IoT),IoT,1.9944571004014076,715,1.4411538635469927
2,Professionals,6,Predictive Energy Management and Distribution,Energy Management,14.347410920553711,4303,3.357928963495618
2,Professionals,7,Industrial Automation & Robot Control,Industrial Automation,1.6724531423854587,453,1.2867689851598012
2,Professionals,8,Remote Monitoring & Control Systems,Remote Monitoring,7.061243450259727,1710,2.6527449709841138
2,Professionals,9,Smart Home & Intelligent Household Control,Smart Home,4.355978486553168,1264,2.177618968352323
2,Professionals,10,Intelligent Logistics,Intelligent Logistics,1.4568340648562832,346,1.1705780685149956
2,Professionals,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,5.561756968054038,1396,2.4170469336372387
2,Professionals,12,Parking & Vehicle Space Management,Parking Management,1.556185542232722,469,1.2255306393829675
2,Professionals,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,5.623023452363151,1442,2.427831309187669
2,Professionals,14,Passenger Transportation,Passenger Transportation,6.738419488712762,1564,2.6064335019596796
2,Professionals,15,Food Ordering & Vending Systems,Food Ordering,0.47687547969523714,125,0.4604335779930645
2,Professionals,16,Digital Advertising,Digital Advertising,35.29048602963327,8056,4.256961265935426
2,Professionals,17,Electronic Trading and Auctions,E-Trading,3.0396834354327833,836,1.8309213207692587
2,Professionals,18,Online Shopping Platforms,Online Shopping,6.08050972202735,1408,2.5049299036757042
2,Professionals,19,E-Coupons & Promotion Management,E-Coupons,1.3991308574361911,386,1.137476763583596
2,Professionals,20,Electronic Payments & Financial Transactions,E-Payment,2.458575172034221,681,1.6317354987607722
2,Professionals,21,Mobile Payments,Mobile Payment,1.6792300885481806,496,1.2902416306433973
2,Professionals,22,Gaming & Wagering Systems,Gaming,3.3486829120576136,1115,1.9232978493001502
2,Professionals,23,Digital Authentication,Digital Authentification,4.5576091891119574,1377,2.221769265553604
2,Professionals,24,E-Learning,E-Learning,35.69116095638318,8659,4.268246442747111
2,Professionals,25,Location-Based Services & Tracking,Location-Based Services,4.415684842205353,1187,2.1908919742938995
2,Professionals,26,Voice Communication,Voice Communication,10.74413388760931,2773,3.069665794097651
2,Professionals,27,Electronic Messaging,Electronic Messaging,6.088274207358371,1570,2.506189141234803
2,Professionals,28,Workflow Management,Workflow Management,15.148049398002643,3615,3.4121066737735135
2,Professionals,29,Cloud Storage & Data Security,Cloud Storage,10.236384170166579,3149,3.0214730062896487
2,Professionals,30,Information Processing,Information Processing,9.265810215233408,2306,2.922377726840252
2,Professionals,31,Cloud Computing,Cloud Computing,17.32839857116043,5111,3.5463254088589338
2,Professionals,32,Recommender Systems,Recommender Systems,8.929269106002211,2508,2.885602589813428
2,Professionals,33,Social Networking & Media Platforms,Social Networking,15.081045432135761,4662,3.407683259518498
2,Professionals,34,Digital Media Content,Digital Media Content,16.610890851143843,4621,3.5041105614033867
2,Professionals,35,Augmented and Virtual Reality (AR/VR),AR/VR,5.2938467431970375,1559,2.368495945668005
2,Professionals,36,Machine Learning & Neural Networks,Machine Learning,6.042691295193972,2031,2.4987740744472955
2,Professionals,37,Medical Imaging & Image Processing,Medical Imaging,3.7401012678011676,1014,2.029670940183743
2,Professionals,38,Health Monitoring,Health Monitoring,10.182920966111796,2662,3.0162613986691458
