nace1d,nace1d_label,tech40_id,tech40_label,tech40_labelshort,cosine1d,n_patent,xposure1d
A,"AGRICULTURE, FORESTRY AND FISHING",1,3D Printer Hardware,3D Printer Hardware,0,0,-0
A,"AGRICULTURE, FORESTRY AND FISHING",2,3D Printing,3D Printing,0,0,-0
A,"AGRICULTURE, FORESTRY AND FISHING",3,Additive Manufacturing,Additive Manufacturing,0.03644366617978609,5,0.03643560394400626
A,"AGRICULTURE, FORESTRY AND FISHING",4,Smart Agriculture & Water Management,Smart Agriculture,131.16790438226312,12668,5.569639926236911
A,"AGRICULTURE, FORESTRY AND FISHING",5,Internet of Things (IoT),IoT,38.69372528499105,4090,4.348991566175883
A,"AGRICULTURE, FORESTRY AND FISHING",6,Predictive Energy Management and Distribution,Energy Management,0.5311272444849873,113,0.508878183654476
A,"AGRICULTURE, FORESTRY AND FISHING",7,Industrial Automation & Robot Control,Industrial Automation,2.922486746843319,325,1.7936453794775824
A,"AGRICULTURE, FORESTRY AND FISHING",8,Remote Monitoring & Control Systems,Remote Monitoring,2.700287377963245,291,1.7191516570303915
A,"AGRICULTURE, FORESTRY AND FISHING",9,Smart Home & Intelligent Household Control,Smart Home,0.427734940284007,61,0.4156618044583372
A,"AGRICULTURE, FORESTRY AND FISHING",10,Intelligent Logistics,Intelligent Logistics,0.07451567954603328,15,0.07444689215834223
A,"AGRICULTURE, FORESTRY AND FISHING",11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.9016644926249182,141,0.8101036313992479
A,"AGRICULTURE, FORESTRY AND FISHING",12,Parking & Vehicle Space Management,Parking Management,0.03113873645847867,4,0.031133706524556836
A,"AGRICULTURE, FORESTRY AND FISHING",13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.20441140100310143,17,0.20301399815530274
A,"AGRICULTURE, FORESTRY AND FISHING",14,Passenger Transportation,Passenger Transportation,0.0070641367686993225,1,0.007064078017559814
A,"AGRICULTURE, FORESTRY AND FISHING",15,Food Ordering & Vending Systems,Food Ordering,0.17907952855592324,27,0.1781359191078388
A,"AGRICULTURE, FORESTRY AND FISHING",16,Digital Advertising,Digital Advertising,0.04877701571578231,22,0.048757694704092504
A,"AGRICULTURE, FORESTRY AND FISHING",17,Electronic Trading and Auctions,E-Trading,0,0,-0
A,"AGRICULTURE, FORESTRY AND FISHING",18,Online Shopping Platforms,Online Shopping,0.16259655015827051,28,0.16188849710038478
A,"AGRICULTURE, FORESTRY AND FISHING",19,E-Coupons & Promotion Management,E-Coupons,0.019241998987740237,2,0.01924081177933643
A,"AGRICULTURE, FORESTRY AND FISHING",20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
A,"AGRICULTURE, FORESTRY AND FISHING",21,Mobile Payments,Mobile Payment,0.04804975696276816,8,0.04803128676650279
A,"AGRICULTURE, FORESTRY AND FISHING",22,Gaming & Wagering Systems,Gaming,0.00482488492700409,25,0.004824866207037044
A,"AGRICULTURE, FORESTRY AND FISHING",23,Digital Authentication,Digital Authentification,0.029276611365574766,5,0.029272430716476366
A,"AGRICULTURE, FORESTRY AND FISHING",24,E-Learning,E-Learning,0.12861647593135056,29,0.1282644900007078
A,"AGRICULTURE, FORESTRY AND FISHING",25,Location-Based Services & Tracking,Location-Based Services,0.007339531864517303,4,0.007339465970907015
A,"AGRICULTURE, FORESTRY AND FISHING",26,Voice Communication,Voice Communication,0.05749950247286417,7,0.057467865446082615
A,"AGRICULTURE, FORESTRY AND FISHING",27,Electronic Messaging,Electronic Messaging,0.21877321648974365,30,0.21706462214080313
A,"AGRICULTURE, FORESTRY AND FISHING",28,Workflow Management,Workflow Management,2.203799238858049,452,1.5312315072412328
A,"AGRICULTURE, FORESTRY AND FISHING",29,Cloud Storage & Data Security,Cloud Storage,0.07722288472424665,12,0.077146338470598
A,"AGRICULTURE, FORESTRY AND FISHING",30,Information Processing,Information Processing,0.06349460903203191,12,0.06345202246972174
A,"AGRICULTURE, FORESTRY AND FISHING",31,Cloud Computing,Cloud Computing,2.0164911130748018,310,1.4509862938632923
A,"AGRICULTURE, FORESTRY AND FISHING",32,Recommender Systems,Recommender Systems,0.27394325262554914,54,0.2706277014928424
A,"AGRICULTURE, FORESTRY AND FISHING",33,Social Networking & Media Platforms,Social Networking,0.07735799053632007,15,0.07728104253331504
A,"AGRICULTURE, FORESTRY AND FISHING",34,Digital Media Content,Digital Media Content,0.01653125985768151,3,0.01653050699944725
A,"AGRICULTURE, FORESTRY AND FISHING",35,Augmented and Virtual Reality (AR/VR),AR/VR,0.04446590787152983,31,0.044451267769237274
A,"AGRICULTURE, FORESTRY AND FISHING",36,Machine Learning & Neural Networks,Machine Learning,1.0229101210588605,255,0.8974810607911434
A,"AGRICULTURE, FORESTRY AND FISHING",37,Medical Imaging & Image Processing,Medical Imaging,0.21896762208654255,33,0.21725453219608884
A,"AGRICULTURE, FORESTRY AND FISHING",38,Health Monitoring,Health Monitoring,0,10,-0
A,"AGRICULTURE, FORESTRY AND FISHING",39,Medical Information,Medical Information,0.0631727698619831,32,0.06313082683927783
A,"AGRICULTURE, FORESTRY AND FISHING",40,E-Healthcare,E-Healthcare,0.08048242280451376,16,0.08039578867796006
B,MINING AND QUARRYING,1,3D Printer Hardware,3D Printer Hardware,0.06342195003468672,14,0.06337950932921325
B,MINING AND QUARRYING,2,3D Printing,3D Printing,0.6720595636253267,24,0.6296266932964827
B,MINING AND QUARRYING,3,Additive Manufacturing,Additive Manufacturing,0.17619613956137034,6,0.17529697483451373
B,MINING AND QUARRYING,4,Smart Agriculture & Water Management,Smart Agriculture,1.4781615069590264,77,1.1825880314001957
B,MINING AND QUARRYING,5,Internet of Things (IoT),IoT,0.1850401251195579,20,0.18400011355701906
B,MINING AND QUARRYING,6,Predictive Energy Management and Distribution,Energy Management,0.10621289807689269,5,0.10601420397818098
B,MINING AND QUARRYING,7,Industrial Automation & Robot Control,Industrial Automation,0.7015862103406567,37,0.653965556037713
B,MINING AND QUARRYING,8,Remote Monitoring & Control Systems,Remote Monitoring,4.017655425182712,145,2.0989857463119943
B,MINING AND QUARRYING,9,Smart Home & Intelligent Household Control,Smart Home,0.05250430278418939,3,0.05248020954252602
B,MINING AND QUARRYING,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
B,MINING AND QUARRYING,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
B,MINING AND QUARRYING,12,Parking & Vehicle Space Management,Parking Management,0.09037035237425779,4,0.090247796135911107
B,MINING AND QUARRYING,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.03796994520775566,6,0.0379608274709238
B,MINING AND QUARRYING,14,Passenger Transportation,Passenger Transportation,0.01816199389445189,2,0.018160995562735663
B,MINING AND QUARRYING,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
B,MINING AND QUARRYING,16,Digital Advertising,Digital Advertising,0.024926541759884423,3,0.024923961202990074
B,MINING AND QUARRYING,17,Electronic Trading and Auctions,E-Trading,0,0,-0
B,MINING AND QUARRYING,18,Online Shopping Platforms,Online Shopping,0,0,-0
B,MINING AND QUARRYING,19,E-Coupons & Promotion Management,E-Coupons,0,1,-0
B,MINING AND QUARRYING,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
B,MINING AND QUARRYING,21,Mobile Payments,Mobile Payment,0,0,-0
B,MINING AND QUARRYING,22,Gaming & Wagering Systems,Gaming,0,4,-0
B,MINING AND QUARRYING,23,Digital Authentication,Digital Authentification,0,4,-0
B,MINING AND QUARRYING,24,E-Learning,E-Learning,0.06410862665900278,3,0.06406479416538137
B,MINING AND QUARRYING,25,Location-Based Services & Tracking,Location-Based Services,0,1,-0
B,MINING AND QUARRYING,26,Voice Communication,Voice Communication,0,1,-0
B,MINING AND QUARRYING,27,Electronic Messaging,Electronic Messaging,0,0,-0
B,MINING AND QUARRYING,28,Workflow Management,Workflow Management,0.2712019805332708,25,0.2679829181611264
B,MINING AND QUARRYING,29,Cloud Storage & Data Security,Cloud Storage,0.06648881606461234,5,0.06643992471805527
B,MINING AND QUARRYING,30,Information Processing,Information Processing,0.08477661311749686,5,0.0846753908478467
B,MINING AND QUARRYING,31,Cloud Computing,Cloud Computing,0.08553120127982493,6,0.08542725795174279
B,MINING AND QUARRYING,32,Recommender Systems,Recommender Systems,0.31746121589317977,19,0.3123570914646056
B,MINING AND QUARRYING,33,Social Networking & Media Platforms,Social Networking,0.017322504096639747,1,0.017321637888758235
B,MINING AND QUARRYING,34,Digital Media Content,Digital Media Content,0,0,-0
B,MINING AND QUARRYING,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
B,MINING AND QUARRYING,36,Machine Learning & Neural Networks,Machine Learning,1.301690156363981,109,1.079481144777867
B,MINING AND QUARRYING,37,Medical Imaging & Image Processing,Medical Imaging,0.02615560169229168,2,0.026152620367919356
B,MINING AND QUARRYING,38,Health Monitoring,Health Monitoring,0,0,-0
B,MINING AND QUARRYING,39,Medical Information,Medical Information,0,0,-0
B,MINING AND QUARRYING,40,E-Healthcare,E-Healthcare,0,0,-0
C,MANUFACTURING,1,3D Printer Hardware,3D Printer Hardware,229.19951547938857,126582,6.127744810366228
C,MANUFACTURING,2,3D Printing,3D Printing,135.18708288649773,72225,5.5998204780243
C,MANUFACTURING,3,Additive Manufacturing,Additive Manufacturing,98.6120578157677,50636,5.284366432612171
C,MANUFACTURING,4,Smart Agriculture & Water Management,Smart Agriculture,25.357690254106952,16032,3.926617796083738
C,MANUFACTURING,5,Internet of Things (IoT),IoT,14.192402156275536,10362,3.3470927993865205
C,MANUFACTURING,6,Predictive Energy Management and Distribution,Energy Management,46.17371050042061,31766,4.525675019431001
C,MANUFACTURING,7,Industrial Automation & Robot Control,Industrial Automation,63.057775443079564,39717,4.837261424083426
C,MANUFACTURING,8,Remote Monitoring & Control Systems,Remote Monitoring,56.94677207600195,34496,4.735341270632717
C,MANUFACTURING,9,Smart Home & Intelligent Household Control,Smart Home,54.70158629494774,33832,4.695123427796908
C,MANUFACTURING,10,Intelligent Logistics,Intelligent Logistics,14.245078279001762,8385,3.3507883720910554
C,MANUFACTURING,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,22.702796661250517,16721,3.8161199900440415
C,MANUFACTURING,12,Parking & Vehicle Space Management,Parking Management,5.85651686102288,4265,2.467912676843779
C,MANUFACTURING,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,38.921526159101475,24858,4.354859638000047
C,MANUFACTURING,14,Passenger Transportation,Passenger Transportation,3.316381911633444,2342,1.9140141202654202
C,MANUFACTURING,15,Food Ordering & Vending Systems,Food Ordering,25.59136113309903,14056,3.935783528282993
C,MANUFACTURING,16,Digital Advertising,Digital Advertising,8.718016541875286,6205,2.861812128782021
C,MANUFACTURING,17,Electronic Trading and Auctions,E-Trading,1.8984001805470139,1444,1.3972530091664468
C,MANUFACTURING,18,Online Shopping Platforms,Online Shopping,12.007537341487433,7147,3.1804111846963
C,MANUFACTURING,19,E-Coupons & Promotion Management,E-Coupons,3.5356797787373613,2707,1.9754765461776296
C,MANUFACTURING,20,Electronic Payments & Financial Transactions,E-Payment,35.787829922434405,24745,4.270950208009367
C,MANUFACTURING,21,Mobile Payments,Mobile Payment,21.719550890687085,15313,3.7718895315919845
C,MANUFACTURING,22,Gaming & Wagering Systems,Gaming,5.867011278051324,4631,2.469677497550718
C,MANUFACTURING,23,Digital Authentication,Digital Authentification,9.755345493584988,8198,2.973579247156468
C,MANUFACTURING,24,E-Learning,E-Learning,5.346003951704381,4072,2.3781313915748026
C,MANUFACTURING,25,Location-Based Services & Tracking,Location-Based Services,6.286520477714271,4436,2.5378215769122483
C,MANUFACTURING,26,Voice Communication,Voice Communication,14.635711306162547,9260,3.3777767761456152
C,MANUFACTURING,27,Electronic Messaging,Electronic Messaging,9.716431916524844,7207,2.9696032393098686
C,MANUFACTURING,28,Workflow Management,Workflow Management,14.798706568779405,9434,3.3888265573368828
C,MANUFACTURING,29,Cloud Storage & Data Security,Cloud Storage,4.420441660480872,3710,2.1919420860195955
C,MANUFACTURING,30,Information Processing,Information Processing,31.199349075968513,18385,4.133801145207239
C,MANUFACTURING,31,Cloud Computing,Cloud Computing,5.082432733217414,4237,2.3284779040579626
C,MANUFACTURING,32,Recommender Systems,Recommender Systems,2.262587853458361,1953,1.5552584597597114
C,MANUFACTURING,33,Social Networking & Media Platforms,Social Networking,1.6193871723778375,1386,1.259213951708414
