nace2d,nace2d_label,tech40_id,tech40_label,tech40_labelshort,cosine2d,n_patent,xposure2d
01,"Crop and animal production, hunting and related service activities",1,3D Printer Hardware,3D Printer Hardware,0,0,-0
01,"Crop and animal production, hunting and related service activities",2,3D Printing,3D Printing,0,0,-0
01,"Crop and animal production, hunting and related service activities",3,Additive Manufacturing,Additive Manufacturing,0.20304328300166533,5,0.2016734176965477
01,"Crop and animal production, hunting and related service activities",4,Smart Agriculture & Water Management,Smart Agriculture,152.49382278369657,2606,5.720282019946595
01,"Crop and animal production, hunting and related service activities",5,Internet of Things (IoT),IoT,43.74456372021213,822,4.4716451469347085
01,"Crop and animal production, hunting and related service activities",6,Predictive Energy Management and Distribution,Energy Management,0.747262312784637,28,0.6909555916228475
01,"Crop and animal production, hunting and related service activities",7,Industrial Automation & Robot Control,Industrial Automation,3.5204718860197124,73,1.9713293771327773
01,"Crop and animal production, hunting and related service activities",8,Remote Monitoring & Control Systems,Remote Monitoring,3.511305079247843,67,1.9688215873485932
01,"Crop and animal production, hunting and related service activities",9,Smart Home & Intelligent Household Control,Smart Home,0.5958881214483143,16,0.5652957953732112
01,"Crop and animal production, hunting and related service activities",10,Intelligent Logistics,Intelligent Logistics,0.06702250879389814,3,0.06697243224847986
01,"Crop and animal production, hunting and related service activities",11,Autonomous Vehicles & UAVs,Autonomous Vehicles,1.2821233103103247,34,1.0675041752896843
01,"Crop and animal production, hunting and related service activities",12,Parking & Vehicle Space Management,Parking Management,0.04337181149573815,1,0.04335822510629274
01,"Crop and animal production, hunting and related service activities",13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.27258513460350603,4,0.269317617156288
01,"Crop and animal production, hunting and related service activities",14,Passenger Transportation,Passenger Transportation,0,0,-0
01,"Crop and animal production, hunting and related service activities",15,Food Ordering & Vending Systems,Food Ordering,0.24943220048860737,6,0.24691557833613828
01,"Crop and animal production, hunting and related service activities",16,Digital Advertising,Digital Advertising,0.08957222353435597,4,0.0894528781955828
01,"Crop and animal production, hunting and related service activities",17,Electronic Trading and Auctions,E-Trading,0,0,-0
01,"Crop and animal production, hunting and related service activities",18,Online Shopping Platforms,Online Shopping,0.2264737662918768,7,0.22458114476138624
01,"Crop and animal production, hunting and related service activities",19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
01,"Crop and animal production, hunting and related service activities",20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
01,"Crop and animal production, hunting and related service activities",21,Mobile Payments,Mobile Payment,0.06692644719814136,2,0.06687658537667772
01,"Crop and animal production, hunting and related service activities",22,Gaming & Wagering Systems,Gaming,0,4,-0
01,"Crop and animal production, hunting and related service activities",23,Digital Authentication,Digital Authentification,0,0,-0
01,"Crop and animal production, hunting and related service activities",24,E-Learning,E-Learning,0.1791443771900954,7,0.17819975191190104
01,"Crop and animal production, hunting and related service activities",25,Location-Based Services & Tracking,Location-Based Services,0,1,-0
01,"Crop and animal production, hunting and related service activities",26,Voice Communication,Voice Communication,0.08368768884179448,2,0.08359030917790497
01,"Crop and animal production, hunting and related service activities",27,Electronic Messaging,Electronic Messaging,0.2292990766540354,6,0.22733583117072173
01,"Crop and animal production, hunting and related service activities",28,Workflow Management,Workflow Management,2.6929777614324895,91,1.7166101339481006
01,"Crop and animal production, hunting and related service activities",29,Cloud Storage & Data Security,Cloud Storage,0.02103715312125719,1,0.021035601723437075
01,"Crop and animal production, hunting and related service activities",30,Information Processing,Information Processing,0.035588750799226444,2,0.03558124253459538
01,"Crop and animal production, hunting and related service activities",31,Cloud Computing,Cloud Computing,2.1501477027074913,59,1.5088355629423738
01,"Crop and animal production, hunting and related service activities",32,Recommender Systems,Recommender Systems,0.23720308356452366,9,0.23503320284122842
01,"Crop and animal production, hunting and related service activities",33,Social Networking & Media Platforms,Social Networking,0.35683099721753314,13,0.34966215265880135
01,"Crop and animal production, hunting and related service activities",34,Digital Media Content,Digital Media Content,0,0,-0
