soc2d,soc2d_label,tech40_id,tech40_label,tech40_labelshort,cosine2d,n_patent,xposure2d
11-0000,Management Occupations,1,3D Printer Hardware,3D Printer Hardware,0.007655335073671647,4,0.007655260303236146
11-0000,Management Occupations,2,3D Printing,3D Printing,0.03886858751734225,7,0.03885880726776116
11-0000,Management Occupations,3,Additive Manufacturing,Additive Manufacturing,0.03107657405490932,8,0.031071574176036853
11-0000,Management Occupations,4,Smart Agriculture & Water Management,Smart Agriculture,36.19471844048737,4957,4.282251166009184
11-0000,Management Occupations,5,Internet of Things (IoT),IoT,8.028410349730155,1329,2.77999000423968
11-0000,Management Occupations,6,Predictive Energy Management and Distribution,Energy Management,9.488713709302814,1473,2.9460154249796746
11-0000,Management Occupations,7,Industrial Automation & Robot Control,Industrial Automation,2.0697150335276544,292,1.4743852444743006
11-0000,Management Occupations,8,Remote Monitoring & Control Systems,Remote Monitoring,8.944789580676067,1176,2.8873284676778113
11-0000,Management Occupations,9,Smart Home & Intelligent Household Control,Smart Home,0.9123499204263225,155,0.8180184185001929
11-0000,Management Occupations,10,Intelligent Logistics,Intelligent Logistics,11.45808675631316,1320,3.1337417262376808
11-0000,Management Occupations,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.3385309777301455,51,0.33237721036290097
11-0000,Management Occupations,12,Parking & Vehicle Space Management,Parking Management,0.9853776344387436,174,0.8709961243176191
11-0000,Management Occupations,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.9750261509687501,152,0.8636037001322682
11-0000,Management Occupations,14,Passenger Transportation,Passenger Transportation,2.4274695464760305,315,1.6199519080801799
11-0000,Management Occupations,15,Food Ordering & Vending Systems,Food Ordering,8.40608287458524,985,2.825622104621974
11-0000,Management Occupations,16,Digital Advertising,Digital Advertising,45.61724842322668,5622,4.513553197209445
11-0000,Management Occupations,17,Electronic Trading and Auctions,E-Trading,1.8227887022187785,276,1.3614546686721511
11-0000,Management Occupations,18,Online Shopping Platforms,Online Shopping,16.16470107859502,2079,3.476932493112089
11-0000,Management Occupations,19,E-Coupons & Promotion Management,E-Coupons,6.368181336335698,923,2.5505695293424995
11-0000,Management Occupations,20,Electronic Payments & Financial Transactions,E-Payment,2.272338125898426,348,1.5591929085019585
11-0000,Management Occupations,21,Mobile Payments,Mobile Payment,0.8661980976367426,144,0.7835301571898259
11-0000,Management Occupations,22,Gaming & Wagering Systems,Gaming,9.602080808101569,1374,2.9578275420853153
11-0000,Management Occupations,23,Digital Authentication,Digital Authentification,3.316007770516164,533,1.9139061021920378
11-0000,Management Occupations,24,E-Learning,E-Learning,20.558484090496126,2703,3.717011867494086
11-0000,Management Occupations,25,Location-Based Services & Tracking,Location-Based Services,0.4368966450602448,71,0.42407128387668297
11-0000,Management Occupations,26,Voice Communication,Voice Communication,1.49795785301026,229,1.1936299038513012
11-0000,Management Occupations,27,Electronic Messaging,Electronic Messaging,1.118404337670228,182,0.9626705266829285
11-0000,Management Occupations,28,Workflow Management,Workflow Management,10.204669749991975,1312,3.0183847385928897
11-0000,Management Occupations,29,Cloud Storage & Data Security,Cloud Storage,1.2590587413307917,188,1.0532394853733473
11-0000,Management Occupations,30,Information Processing,Information Processing,1.6209028856089511,276,1.2600100576079916
