soc3d,soc3d_label,tech40_id,tech40_label,tech40_labelshort,cosine3d,n_patent,xposure3d
11-1000,Top Executives,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-1000,Top Executives,2,3D Printing,3D Printing,0,0,-0
11-1000,Top Executives,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-1000,Top Executives,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
11-1000,Top Executives,5,Internet of Things (IoT),IoT,0,0,-0
11-1000,Top Executives,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
11-1000,Top Executives,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
11-1000,Top Executives,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
11-1000,Top Executives,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
11-1000,Top Executives,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
11-1000,Top Executives,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-1000,Top Executives,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
11-1000,Top Executives,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
11-1000,Top Executives,14,Passenger Transportation,Passenger Transportation,0,0,-0
11-1000,Top Executives,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
11-1000,Top Executives,16,Digital Advertising,Digital Advertising,0,0,-0
11-1000,Top Executives,17,Electronic Trading and Auctions,E-Trading,0,0,-0
11-1000,Top Executives,18,Online Shopping Platforms,Online Shopping,0,0,-0
11-1000,Top Executives,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
11-1000,Top Executives,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
11-1000,Top Executives,21,Mobile Payments,Mobile Payment,0,0,-0
11-1000,Top Executives,22,Gaming & Wagering Systems,Gaming,0,0,-0
11-1000,Top Executives,23,Digital Authentication,Digital Authentification,0.31283209611412177,4,0.30794203149174015
11-1000,Top Executives,24,E-Learning,E-Learning,0,0,-0
11-1000,Top Executives,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
11-1000,Top Executives,26,Voice Communication,Voice Communication,0,0,-0
11-1000,Top Executives,27,Electronic Messaging,Electronic Messaging,0,2,-0
11-1000,Top Executives,28,Workflow Management,Workflow Management,0.6745102775677443,4,0.6316595796460096
11-1000,Top Executives,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
11-1000,Top Executives,30,Information Processing,Information Processing,0,0,-0
11-1000,Top Executives,31,Cloud Computing,Cloud Computing,0,0,-0
11-1000,Top Executives,32,Recommender Systems,Recommender Systems,0,0,-0
11-1000,Top Executives,33,Social Networking & Media Platforms,Social Networking,0,0,-0
11-1000,Top Executives,34,Digital Media Content,Digital Media Content,0,0,-0
11-1000,Top Executives,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
11-1000,Top Executives,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
11-1000,Top Executives,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
11-1000,Top Executives,38,Health Monitoring,Health Monitoring,0,0,-0
11-1000,Top Executives,39,Medical Information,Medical Information,0,0,-0
11-1000,Top Executives,40,E-Healthcare,E-Healthcare,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",2,3D Printing,3D Printing,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",4,Smart Agriculture & Water Management,Smart Agriculture,0,1,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",5,Internet of Things (IoT),IoT,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",6,Predictive Energy Management and Distribution,Energy Management,1.1665043330590585,19,0.994351844269164
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10,Intelligent Logistics,Intelligent Logistics,0.09958171754206338,3,0.09941786369079689
